#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,hundewiese,de,0,1800,0.35,0.51,hundewiese,2025-04-09 18:05:45,"Thumbnail,People also ask",2000,1000,1100,2015-09-07,"Informational,Navigational,Branded,Non-local"
2,eingezäunte hundewiese in der nähe,de,0,1400,1.50,0.91,eingezäunte hundewiese in der nähe,2025-04-08 03:22:45,"Thumbnail,Sitelinks",1600,1800,1800,2015-10-10,"Informational,Non-branded,Local"
3,hundewiese in der nähe,de,7,1300,0.30,,eingezäunte hundewiese in der nähe,2025-04-08 17:17:23,"Thumbnail,People also ask,Sitelinks",1500,1800,1800,2017-04-30,"Informational,Non-branded,Local"
4,hundespielplatz,de,3,1100,0.15,0.58,hundespielplatz köln,2025-04-06 20:11:26,"Sitelinks,Thumbnail",1200,900,900,2015-09-05,"Navigational,Non-branded,Local"
5,hundepark in der nähe,de,7,800,2.00,,eingezäunte hundewiese in der nähe,2025-04-10 08:51:39,"Thumbnail,Sitelinks",1000,2800,2900,2017-01-22,"Non-branded,Local"
6,hundeplatz,de,0,700,0.15,0.33,hundeplatz,2025-04-06 05:43:28,Thumbnail,900,100,100,2015-09-02,"Navigational,Commercial,Non-branded,Local"
7,hundeauslauf in der nähe,de,7,500,0.10,,eingezäunte hundewiese in der nähe,2025-04-04 07:11:04,Thumbnail,600,2500,2600,2017-04-19,"Informational,Non-branded,Local"
8,hundewiese eingezäunt,de,0,500,0.80,,hundewiese chemnitz,2025-04-09 15:18:34,"Thumbnail,People also ask,Knowledge panel",600,20,20,2015-11-17,"Informational,Non-branded,Non-local"
9,hundespielplatz köln,de,0,500,0.90,0.94,hundespielplatz köln,2025-04-06 07:21:14,Thumbnail,500,900,1000,2016-01-03,"Informational,Non-branded,Local"
10,hundepark,de,1,500,0.50,0.45,hundepark,2025-03-28 20:01:50,"Thumbnail,Sitelinks",1200,250,250,2015-09-14,"Informational,Non-branded,Non-local"
11,hundefreilauf in der nähe,de,1,450,0.25,,eingezäunte hundewiese in der nähe,2025-03-31 03:08:02,Thumbnail,500,2800,2900,2018-05-20,"Informational,Non-branded,Local"
12,hundewald in der nähe,de,1,400,1.30,,hundeauslaufgebiet in der nähe,2025-04-08 03:09:48,"People also ask,Thumbnail",900,20,20,2020-01-10,"Informational,Non-branded,Local"
13,eingezäunte hundewiese,de,0,400,0.80,0.55,hundewiese eingezäunt,2025-04-02 16:07:05,"Thumbnail,Sitelinks",400,450,450,2015-09-06,"Informational,Non-branded,Non-local"
14,hundeplatz in der nähe,de,1,300,0.35,,eingezäunte hundewiese in der nähe,2025-04-01 19:13:26,"Local teaser pack,Sitelinks,Thumbnail",350,2500,2600,2015-10-24,"Informational,Non-branded,Local"
15,hundespielplatz in der nähe,de,3,250,,0.52,agility hund in der nähe,2025-04-09 18:52:16,"Thumbnail,People also ask,Sitelinks",300,20,20,2016-10-03,"Non-branded,Local"
16,hunde spielplatz,de,0,250,0.15,,hunde spielplatz,2025-03-25 19:13:36,"People also ask,Thumbnail,Sitelinks",300,90,90,2015-09-27,"Informational,Non-branded,Non-local"
